NAME,c_income,c_less10k,c_10_14999,c_15_24999,c_25_34999,c_35_49999,c_50_74999,c_75_99999,c_100_149,c_150_199,c_200more,c_income_moe,c_less10k_moe,c_10_14999_moe,c_15_24999_moe,c_25_34999_moe,c_35_49999_moe,c_50_74999_moe,c_75_99999_moe,c_100_149_moe,c_150_199_moe,c_200more_moe,state_fips,county_fips,tract_fips,year,FIPS_11_digit
"Census Tract 19.01, Merced County, California",1553,5.0,6.0,18.0,14.0,16.0,20.0,8.0,5.0,2.0,1.0,125,3.0,3.0,5.0,5.0,6.0,6.0,4.0,3.0,2.0,1.0,06,047,001901,2018,06047001901
"Census Tract 13.02, Merced County, California",1103,10.0,18.0,19.0,12.0,7.0,13.0,8.0,7.0,2.0,0.0,123,5.0,8.0,8.0,7.0,4.0,8.0,5.0,4.0,3.0,3.0,06,047,001302,2018,06047001302
"Census Tract 3.04, Merced County, California",2649,4.0,5.0,8.0,17.0,14.0,19.0,17.0,7.0,1.0,2.0,163,3.0,4.0,4.0,7.0,5.0,6.0,6.0,5.0,1.0,2.0,06,047,000304,2018,06047000304
"Census Tract 6.01, Merced County, California",1617,5.0,6.0,13.0,13.0,21.0,15.0,10.0,11.0,1.0,0.0,115,4.0,4.0,6.0,6.0,7.0,6.0,3.0,4.0,1.0,1.0,06,047,000601,2018,06047000601
"Census Tract 10.03, Merced County, California",1500,9.0,13.0,15.0,14.0,24.0,15.0,2.0,2.0,0.0,1.0,55,4.0,5.0,5.0,5.0,6.0,6.0,2.0,2.0,2.0,1.0,06,047,001003,2018,06047001003
"Census Tract 14.02, Merced County, California",1619,10.0,4.0,10.0,5.0,16.0,16.0,7.0,12.0,10.0,4.0,71,5.0,3.0,5.0,3.0,6.0,6.0,4.0,4.0,4.0,2.0,06,047,001402,2018,06047001402
"Census Tract 17, Merced County, California",1952,10.0,4.0,11.0,18.0,16.0,20.0,8.0,6.0,2.0,1.0,112,4.0,2.0,3.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,06,047,001700,2018,06047001700
"Census Tract 18.01, Merced County, California",1089,2.0,3.0,3.0,4.0,7.0,16.0,12.0,19.0,10.0,19.0,38,2.0,3.0,3.0,4.0,4.0,6.0,6.0,7.0,6.0,8.0,06,047,001801,2018,06047001801
"Census Tract 20, Merced County, California",2889,6.0,5.0,7.0,11.0,17.0,24.0,10.0,10.0,3.0,2.0,302,4.0,3.0,3.0,6.0,7.0,8.0,5.0,4.0,3.0,1.0,06,047,002000,2018,06047002000
"Census Tract 6.02, Merced County, California",1104,9.0,3.0,12.0,10.0,13.0,19.0,19.0,7.0,2.0,2.0,78,4.0,2.0,5.0,5.0,6.0,7.0,8.0,3.0,2.0,3.0,06,047,000602,2018,06047000602
"Census Tract 6.03, Merced County, California",1898,5.0,9.0,13.0,6.0,11.0,19.0,13.0,16.0,2.0,2.0,111,3.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,1.0,2.0,06,047,000603,2018,06047000603
"Census Tract 10.05, Merced County, California",944,6.0,12.0,18.0,16.0,23.0,11.0,5.0,3.0,1.0,1.0,67,3.0,5.0,8.0,5.0,8.0,5.0,3.0,3.0,1.0,2.0,06,047,001005,2018,06047001005
"Census Tract 13.01, Merced County, California",1165,9.0,15.0,13.0,19.0,8.0,15.0,5.0,10.0,1.0,0.0,101,5.0,6.0,6.0,7.0,4.0,7.0,3.0,5.0,2.0,0.0,06,047,001301,2018,06047001301
"Census Tract 15.01, Merced County, California",727,2.0,5.0,7.0,5.0,18.0,23.0,10.0,22.0,1.0,2.0,35,2.0,3.0,5.0,4.0,9.0,8.0,4.0,7.0,1.0,2.0,06,047,001501,2018,06047001501
"Census Tract 314.05, El Dorado County, California",941,5.0,0.0,2.0,8.0,10.0,23.0,19.0,19.0,4.0,6.0,82,4.0,3.0,2.0,4.0,5.0,6.0,6.0,6.0,2.0,3.0,06,017,031405,2018,06017031405
"Census Tract 315.04, El Dorado County, California",2122,2.0,3.0,10.0,10.0,13.0,20.0,14.0,15.0,6.0,4.0,155,2.0,2.0,3.0,6.0,5.0,7.0,6.0,5.0,4.0,3.0,06,017,031504,2018,06017031504
"Census Tract 306.01, El Dorado County, California",1972,3.0,0.0,1.0,7.0,3.0,21.0,19.0,27.0,6.0,9.0,138,4.0,0.0,1.0,5.0,2.0,6.0,6.0,6.0,3.0,5.0,06,017,030601,2018,06017030601
"Census Tract 309.02, El Dorado County, California",1807,1.0,3.0,4.0,4.0,9.0,10.0,11.0,21.0,14.0,19.0,88,0.0,2.0,2.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,06,017,030902,2018,06017030902
"Census Tract 313.02, El Dorado County, California",1945,1.0,7.0,23.0,10.0,14.0,14.0,12.0,8.0,4.0,3.0,149,1.0,5.0,8.0,5.0,6.0,5.0,6.0,5.0,3.0,2.0,06,017,031302,2018,06017031302
"Census Tract 302, El Dorado County, California",1884,3.0,7.0,12.0,9.0,12.0,16.0,13.0,17.0,5.0,3.0,189,3.0,3.0,5.0,5.0,4.0,6.0,5.0,6.0,2.0,2.0,06,017,030200,2018,06017030200
"Census Tract 307.01, El Dorado County, California",2119,2.0,3.0,4.0,0.0,7.0,7.0,13.0,18.0,17.0,25.0,75,1.0,4.0,3.0,1.0,3.0,3.0,5.0,6.0,5.0,6.0,06,017,030701,2018,06017030701
"Census Tract 309.01, El Dorado County, California",1200,4.0,3.0,6.0,6.0,9.0,6.0,20.0,14.0,15.0,13.0,87,3.0,2.0,4.0,3.0,4.0,3.0,8.0,4.0,6.0,5.0,06,017,030901,2018,06017030901
"Census Tract 314.02, El Dorado County, California",2360,7.0,5.0,12.0,6.0,12.0,20.0,10.0,14.0,4.0,5.0,209,3.0,3.0,6.0,4.0,5.0,7.0,4.0,5.0,3.0,4.0,06,017,031402,2018,06017031402
"Census Tract 310, El Dorado County, California",2366,2.0,5.0,12.0,14.0,5.0,15.0,11.0,18.0,5.0,9.0,153,2.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,4.0,06,017,031000,2018,06017031000
"Census Tract 2002.02, Napa County, California",1108,4.0,4.0,10.0,12.0,10.0,25.0,8.0,7.0,9.0,6.0,91,4.0,4.0,4.0,7.0,6.0,7.0,4.0,4.0,6.0,3.0,06,055,200202,2018,06055200202
"Census Tract 2004, Napa County, California",1550,1.0,0.0,4.0,6.0,7.0,14.0,15.0,20.0,15.0,14.0,82,2.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,06,055,200400,2018,06055200400
"Census Tract 2009, Napa County, California",37,59.0,21.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,20,41.0,33.0,50.0,50.0,50.0,50.0,29.0,50.0,50.0,50.0,06,055,200900,2018,06055200900
"Census Tract 61.01, Sacramento County, California",2045,10.0,6.0,12.0,12.0,18.0,16.0,6.0,6.0,7.0,3.0,150,4.0,4.0,6.0,6.0,7.0,7.0,3.0,4.0,4.0,3.0,06,067,006101,2018,06067006101
"Census Tract 61.02, Sacramento County, California",1628,9.0,11.0,14.0,19.0,13.0,9.0,7.0,10.0,2.0,2.0,138,4.0,4.0,5.0,6.0,4.0,4.0,3.0,4.0,1.0,1.0,06,067,006102,2018,06067006102
"Census Tract 69, Sacramento County, California",2057,10.0,22.0,13.0,10.0,13.0,16.0,4.0,2.0,2.0,4.0,201,5.0,8.0,6.0,7.0,6.0,6.0,3.0,2.0,1.0,3.0,06,067,006900,2018,06067006900
"Census Tract 81.37, Sacramento County, California",929,5.0,5.0,14.0,9.0,8.0,21.0,11.0,16.0,5.0,1.0,56,2.0,2.0,4.0,3.0,3.0,7.0,4.0,5.0,2.0,1.0,06,067,008137,2018,06067008137
"Census Tract 82.10, Sacramento County, California",2692,2.0,2.0,7.0,5.0,11.0,11.0,11.0,17.0,13.0,18.0,85,1.0,1.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,06,067,008210,2018,06067008210
"Census Tract 84.04, Sacramento County, California",1574,5.0,8.0,12.0,8.0,10.0,12.0,15.0,12.0,12.0,2.0,70,3.0,4.0,5.0,3.0,4.0,4.0,6.0,5.0,4.0,2.0,06,067,008404,2018,06067008404
"Census Tract 87.02, Sacramento County, California",1176,1.0,0.0,1.0,2.0,5.0,15.0,6.0,25.0,16.0,24.0,85,1.0,2.0,1.0,2.0,2.0,5.0,3.0,6.0,4.0,5.0,06,067,008702,2018,06067008702
"Census Tract 89.05, Sacramento County, California",1590,2.0,1.0,3.0,7.0,16.0,25.0,21.0,14.0,4.0,1.0,94,2.0,1.0,2.0,4.0,5.0,5.0,4.0,5.0,2.0,1.0,06,067,008905,2018,06067008905
"Census Tract 89.08, Sacramento County, California",1998,3.0,6.0,13.0,14.0,12.0,18.0,10.0,15.0,3.0,1.0,76,2.0,3.0,4.0,5.0,3.0,6.0,4.0,4.0,1.0,2.0,06,067,008908,2018,06067008908
"Census Tract 89.10, Sacramento County, California",1304,4.0,11.0,3.0,5.0,17.0,24.0,13.0,14.0,2.0,3.0,82,2.0,7.0,2.0,3.0,7.0,6.0,5.0,5.0,2.0,5.0,06,067,008910,2018,06067008910
"Census Tract 2, Sacramento County, California",1782,2.0,2.0,6.0,2.0,6.0,9.0,13.0,23.0,13.0,19.0,50,1.0,1.0,3.0,1.0,3.0,3.0,4.0,5.0,5.0,4.0,06,067,000200,2018,06067000200
"Census Tract 4, Sacramento County, California",2273,5.0,4.0,11.0,6.0,8.0,20.0,14.0,17.0,4.0,6.0,124,3.0,2.0,5.0,3.0,4.0,6.0,5.0,5.0,3.0,3.0,06,067,000400,2018,06067000400
"Census Tract 42.02, Sacramento County, California",1715,5.0,8.0,14.0,9.0,15.0,18.0,13.0,9.0,4.0,0.0,67,3.0,4.0,6.0,4.0,5.0,5.0,5.0,4.0,2.0,1.0,06,067,004202,2018,06067004202
"Census Tract 42.03, Sacramento County, California",1575,13.0,5.0,14.0,13.0,17.0,18.0,9.0,5.0,2.0,1.0,85,5.0,3.0,5.0,6.0,6.0,5.0,4.0,3.0,1.0,1.0,06,067,004203,2018,06067004203
"Census Tract 43, Sacramento County, California",2453,6.0,5.0,10.0,14.0,20.0,21.0,12.0,3.0,4.0,1.0,129,3.0,2.0,5.0,6.0,7.0,6.0,5.0,2.0,3.0,1.0,06,067,004300,2018,06067004300
"Census Tract 52.02, Sacramento County, California",1467,7.0,3.0,7.0,4.0,11.0,9.0,13.0,27.0,8.0,7.0,81,3.0,2.0,4.0,3.0,4.0,5.0,4.0,6.0,3.0,3.0,06,067,005202,2018,06067005202
"Census Tract 55.05, Sacramento County, California",2200,15.0,12.0,12.0,17.0,15.0,9.0,4.0,9.0,2.0,0.0,91,6.0,5.0,4.0,5.0,6.0,4.0,3.0,4.0,2.0,0.0,06,067,005505,2018,06067005505
"Census Tract 83.24, San Diego County, California",2903,3.0,0.0,1.0,0.0,4.0,10.0,12.0,12.0,12.0,41.0,166,2.0,1.0,1.0,1.0,2.0,4.0,5.0,4.0,4.0,6.0,06,073,008324,2018,06073008324
"Census Tract 83.39, San Diego County, California",819,16.0,6.0,5.0,8.0,3.0,7.0,19.0,19.0,8.0,4.0,50,6.0,4.0,3.0,4.0,2.0,3.0,6.0,7.0,5.0,2.0,06,073,008339,2018,06073008339
"Census Tract 83.47, San Diego County, California",2180,2.0,0.0,4.0,7.0,4.0,12.0,13.0,23.0,16.0,16.0,31,1.0,1.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,06,073,008347,2018,06073008347
"Census Tract 83.54, San Diego County, California",3200,1.0,1.0,2.0,2.0,10.0,14.0,13.0,26.0,17.0,10.0,154,1.0,2.0,2.0,2.0,5.0,8.0,5.0,7.0,6.0,3.0,06,073,008354,2018,06073008354
"Census Tract 85.05, San Diego County, California",2116,8.0,4.0,4.0,6.0,12.0,18.0,11.0,20.0,7.0,6.0,107,5.0,3.0,3.0,3.0,4.0,7.0,5.0,5.0,3.0,3.0,06,073,008505,2018,06073008505
"Census Tract 176.04, San Diego County, California",3096,7.0,6.0,5.0,6.0,11.0,14.0,8.0,10.0,9.0,18.0,156,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,06,073,017604,2018,06073017604
"Census Tract 184, San Diego County, California",1589,8.0,6.0,11.0,12.0,14.0,15.0,11.0,12.0,5.0,2.0,104,4.0,4.0,4.0,4.0,6.0,6.0,6.0,5.0,3.0,1.0,06,073,018400,2018,06073018400
"Census Tract 5433.21, Los Angeles County, California",1820,4.0,2.0,8.0,6.0,4.0,20.0,11.0,24.0,9.0,9.0,57,2.0,1.0,4.0,3.0,1.0,6.0,4.0,6.0,4.0,4.0,06,037,543321,2018,06037543321
"Census Tract 5435.02, Los Angeles County, California",1390,4.0,4.0,13.0,6.0,16.0,11.0,15.0,7.0,10.0,9.0,87,3.0,3.0,7.0,4.0,7.0,6.0,5.0,3.0,5.0,5.0,06,037,543502,2018,06037543502
"Census Tract 5501, Los Angeles County, California",1886,3.0,2.0,5.0,11.0,7.0,22.0,17.0,18.0,6.0,5.0,85,3.0,1.0,3.0,5.0,4.0,6.0,5.0,5.0,3.0,4.0,06,037,550100,2018,06037550100
"Census Tract 5505, Los Angeles County, California",2318,3.0,1.0,0.0,9.0,7.0,17.0,13.0,16.0,14.0,14.0,86,2.0,1.0,1.0,5.0,4.0,7.0,6.0,7.0,6.0,5.0,06,037,550500,2018,06037550500
"Census Tract 5510, Los Angeles County, California",2208,0.0,1.0,5.0,4.0,10.0,20.0,16.0,17.0,8.0,13.0,78,1.0,2.0,3.0,4.0,6.0,7.0,7.0,8.0,4.0,5.0,06,037,551000,2018,06037551000
"Census Tract 6031.02, Los Angeles County, California",1334,6.0,8.0,10.0,7.0,13.0,18.0,13.0,11.0,6.0,2.0,95,4.0,4.0,4.0,4.0,6.0,5.0,5.0,4.0,4.0,2.0,06,037,603102,2018,06037603102
"Census Tract 6033.01, Los Angeles County, California",1469,5.0,7.0,9.0,14.0,14.0,16.0,15.0,9.0,4.0,3.0,86,3.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,2.0,06,037,603301,2018,06037603301
"Census Tract 6033.02, Los Angeles County, California",1572,13.0,3.0,18.0,6.0,9.0,15.0,15.0,14.0,0.0,3.0,80,6.0,4.0,6.0,4.0,3.0,5.0,4.0,5.0,0.0,2.0,06,037,603302,2018,06037603302
"Census Tract 6037.02, Los Angeles County, California",1575,3.0,2.0,2.0,2.0,12.0,22.0,12.0,25.0,11.0,6.0,83,3.0,2.0,1.0,1.0,4.0,6.0,5.0,6.0,5.0,3.0,06,037,603702,2018,06037603702
"Census Tract 6201.02, Los Angeles County, California",1530,1.0,0.0,7.0,7.0,12.0,18.0,11.0,15.0,11.0,13.0,94,1.0,1.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,06,037,620102,2018,06037620102
"Census Tract 6205.21, Los Angeles County, California",1551,3.0,2.0,6.0,5.0,3.0,10.0,8.0,18.0,17.0,23.0,75,2.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,6.0,6.0,06,037,620521,2018,06037620521
"Census Tract 6206.02, Los Angeles County, California",1909,0.0,0.0,3.0,6.0,2.0,13.0,12.0,20.0,12.0,27.0,97,1.0,1.0,2.0,4.0,2.0,5.0,6.0,6.0,5.0,8.0,06,037,620602,2018,06037620602
"Census Tract 6507.01, Los Angeles County, California",961,3.0,4.0,7.0,3.0,7.0,8.0,10.0,19.0,13.0,20.0,50,3.0,2.0,3.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,06,037,650701,2018,06037650701
"Census Tract 6513.02, Los Angeles County, California",2281,5.0,0.0,4.0,3.0,8.0,6.0,8.0,25.0,10.0,26.0,139,3.0,1.0,4.0,3.0,3.0,3.0,4.0,7.0,4.0,7.0,06,037,651302,2018,06037651302
"Census Tract 6700.02, Los Angeles County, California",1496,3.0,10.0,4.0,4.0,11.0,12.0,19.0,18.0,7.0,8.0,86,2.0,5.0,2.0,3.0,5.0,4.0,6.0,7.0,3.0,4.0,06,037,670002,2018,06037670002
"Census Tract 6702.02, Los Angeles County, California",883,2.0,0.0,0.0,0.0,6.0,15.0,6.0,10.0,13.0,43.0,62,3.0,0.0,0.0,1.0,2.0,5.0,3.0,3.0,3.0,5.0,06,037,670202,2018,06037670202
"Census Tract 8001.01, Los Angeles County, California",1949,0.0,3.0,3.0,2.0,6.0,6.0,8.0,23.0,12.0,31.0,99,1.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,4.0,5.0,06,037,800101,2018,06037800101
"Census Tract 9201.11, Los Angeles County, California",934,1.0,2.0,2.0,2.0,4.0,8.0,22.0,28.0,19.0,8.0,42,1.0,1.0,2.0,2.0,3.0,5.0,6.0,8.0,8.0,4.0,06,037,920111,2018,06037920111
"Census Tract 5310, Los Angeles County, California",1327,4.0,8.0,7.0,18.0,20.0,16.0,15.0,7.0,1.0,0.0,79,3.0,5.0,4.0,7.0,7.0,7.0,6.0,4.0,2.0,1.0,06,037,531000,2018,06037531000
"Census Tract 5300.04, Los Angeles County, California",1160,3.0,4.0,11.0,7.0,10.0,20.0,16.0,13.0,7.0,3.0,82,3.0,3.0,5.0,5.0,6.0,7.0,6.0,6.0,5.0,2.0,06,037,530004,2018,06037530004
"Census Tract 5303.01, Los Angeles County, California",635,4.0,0.0,14.0,17.0,18.0,21.0,6.0,11.0,5.0,0.0,24,3.0,1.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,5.0,06,037,530301,2018,06037530301
"Census Tract 5309.01, Los Angeles County, California",911,4.0,1.0,7.0,14.0,20.0,25.0,10.0,11.0,2.0,3.0,45,3.0,2.0,3.0,5.0,7.0,6.0,4.0,4.0,2.0,2.0,06,037,530901,2018,06037530901
"Census Tract 5320.01, Los Angeles County, California",1033,7.0,12.0,23.0,12.0,12.0,19.0,9.0,4.0,0.0,0.0,74,4.0,6.0,8.0,9.0,7.0,7.0,5.0,3.0,3.0,3.0,06,037,532001,2018,06037532001
"Census Tract 5325, Los Angeles County, California",1139,3.0,2.0,14.0,18.0,13.0,18.0,15.0,9.0,4.0,0.0,30,3.0,2.0,6.0,8.0,5.0,7.0,6.0,5.0,4.0,3.0,06,037,532500,2018,06037532500
"Census Tract 5334.03, Los Angeles County, California",740,2.0,11.0,13.0,13.0,10.0,18.0,13.0,8.0,7.0,0.0,31,2.0,5.0,5.0,5.0,4.0,7.0,6.0,4.0,4.0,4.0,06,037,533403,2018,06037533403
"Census Tract 5335.01, Los Angeles County, California",735,3.0,8.0,14.0,12.0,20.0,17.0,11.0,8.0,3.0,0.0,35,2.0,4.0,6.0,6.0,7.0,7.0,5.0,4.0,3.0,4.0,06,037,533501,2018,06037533501
"Census Tract 5336.01, Los Angeles County, California",1101,4.0,4.0,15.0,11.0,22.0,20.0,12.0,8.0,0.0,0.0,51,3.0,3.0,5.0,5.0,7.0,7.0,4.0,5.0,3.0,3.0,06,037,533601,2018,06037533601
"Census Tract 5348.03, Los Angeles County, California",1173,3.0,2.0,19.0,16.0,19.0,21.0,8.0,8.0,0.0,0.0,47,2.0,2.0,7.0,8.0,7.0,7.0,4.0,5.0,0.0,1.0,06,037,534803,2018,06037534803
"Census Tract 5356.03, Los Angeles County, California",955,3.0,10.0,13.0,15.0,20.0,15.0,12.0,6.0,2.0,0.0,47,2.0,5.0,5.0,6.0,6.0,5.0,5.0,3.0,2.0,3.0,06,037,535603,2018,06037535603
"Census Tract 5359.02, Los Angeles County, California",1547,3.0,0.0,3.0,8.0,12.0,23.0,20.0,13.0,10.0,3.0,49,3.0,0.0,2.0,3.0,5.0,6.0,6.0,5.0,5.0,2.0,06,037,535902,2018,06037535902
"Census Tract 5401.02, Los Angeles County, California",1551,12.0,4.0,7.0,3.0,17.0,18.0,12.0,13.0,4.0,5.0,62,5.0,3.0,4.0,2.0,7.0,6.0,5.0,5.0,3.0,3.0,06,037,540102,2018,06037540102
"Census Tract 5405.02, Los Angeles County, California",1478,5.0,7.0,22.0,13.0,13.0,16.0,10.0,6.0,3.0,2.0,68,3.0,4.0,5.0,5.0,6.0,5.0,5.0,3.0,2.0,2.0,06,037,540502,2018,06037540502
"Census Tract 5408, Los Angeles County, California",1481,2.0,5.0,5.0,7.0,13.0,30.0,13.0,15.0,4.0,1.0,151,2.0,4.0,4.0,4.0,7.0,9.0,7.0,5.0,4.0,2.0,06,037,540800,2018,06037540800
"Census Tract 5413, Los Angeles County, California",1500,7.0,9.0,8.0,14.0,14.0,18.0,8.0,14.0,3.0,0.0,70,4.0,5.0,4.0,5.0,5.0,6.0,4.0,5.0,2.0,0.0,06,037,541300,2018,06037541300
"Census Tract 5414, Los Angeles County, California",1639,8.0,7.0,9.0,15.0,13.0,16.0,7.0,19.0,4.0,0.0,81,4.0,4.0,5.0,5.0,6.0,6.0,5.0,6.0,3.0,1.0,06,037,541400,2018,06037541400
"Census Tract 5081.01, Santa Clara County, California",2301,2.0,0.0,1.0,3.0,3.0,8.0,2.0,8.0,22.0,46.0,92,1.0,1.0,1.0,2.0,2.0,4.0,2.0,3.0,6.0,7.0,06,085,508101,2018,06085508101
"Census Tract 5092.02, Santa Clara County, California",1863,3.0,3.0,3.0,4.0,3.0,10.0,8.0,18.0,14.0,30.0,83,3.0,2.0,2.0,2.0,1.0,3.0,3.0,4.0,5.0,5.0,06,085,509202,2018,06085509202
"Census Tract 5093.04, Santa Clara County, California",1407,0.0,2.0,3.0,3.0,9.0,6.0,15.0,17.0,11.0,29.0,73,1.0,2.0,2.0,2.0,4.0,3.0,6.0,5.0,4.0,5.0,06,085,509304,2018,06085509304
"Census Tract 5094.01, Santa Clara County, California",1714,5.0,5.0,3.0,1.0,4.0,12.0,16.0,13.0,13.0,23.0,85,3.0,3.0,2.0,1.0,3.0,4.0,4.0,3.0,3.0,4.0,06,085,509401,2018,06085509401
"Census Tract 5098.01, Santa Clara County, California",2236,3.0,2.0,7.0,4.0,6.0,5.0,7.0,17.0,10.0,34.0,135,3.0,2.0,5.0,3.0,4.0,3.0,3.0,5.0,4.0,5.0,06,085,509801,2018,06085509801
"Census Tract 5123.07, Santa Clara County, California",2473,2.0,0.0,5.0,8.0,4.0,11.0,12.0,19.0,12.0,24.0,95,1.0,0.0,3.0,3.0,2.0,4.0,5.0,5.0,5.0,6.0,06,085,512307,2018,06085512307
"Census Tract 5032.04, Santa Clara County, California",2211,1.0,4.0,9.0,4.0,10.0,22.0,20.0,13.0,7.0,6.0,112,1.0,4.0,5.0,3.0,5.0,7.0,8.0,6.0,3.0,4.0,06,085,503204,2018,06085503204
"Census Tract 5032.10, Santa Clara County, California",994,3.0,3.0,3.0,5.0,10.0,20.0,13.0,21.0,10.0,8.0,19,3.0,3.0,1.0,2.0,6.0,6.0,5.0,6.0,4.0,4.0,06,085,503210,2018,06085503210
"Census Tract 5034.01, Santa Clara County, California",941,2.0,4.0,8.0,5.0,11.0,16.0,16.0,23.0,6.0,6.0,53,2.0,3.0,5.0,2.0,5.0,6.0,6.0,7.0,3.0,4.0,06,085,503401,2018,06085503401
"Census Tract 5035.07, Santa Clara County, California",370,3.0,3.0,5.0,2.0,2.0,12.0,9.0,21.0,25.0,14.0,26,3.0,3.0,4.0,2.0,2.0,5.0,5.0,6.0,8.0,5.0,06,085,503507,2018,06085503507
"Census Tract 5120.19, Santa Clara County, California",1542,2.0,3.0,0.0,4.0,8.0,12.0,9.0,25.0,14.0,18.0,62,3.0,3.0,1.0,2.0,3.0,6.0,4.0,6.0,4.0,6.0,06,085,512019,2018,06085512019
"Census Tract 5120.20, Santa Clara County, California",2564,1.0,0.0,1.0,5.0,9.0,18.0,19.0,26.0,5.0,11.0,138,1.0,1.0,1.0,3.0,5.0,7.0,6.0,7.0,3.0,5.0,06,085,512020,2018,06085512020
"Census Tract 5120.24, Santa Clara County, California",1733,4.0,2.0,5.0,4.0,7.0,11.0,11.0,21.0,15.0,16.0,47,2.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,4.0,06,085,512024,2018,06085512024
"Census Tract 5124.02, Santa Clara County, California",1492,0.0,2.0,2.0,7.0,9.0,14.0,8.0,15.0,14.0,23.0,117,1.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,06,085,512402,2018,06085512402
"Census Tract 104, Shasta County, California",1610,6.0,5.0,11.0,15.0,17.0,15.0,12.0,9.0,2.0,3.0,107,3.0,3.0,5.0,6.0,6.0,5.0,4.0,4.0,1.0,2.0,06,089,010400,2018,06089010400
"Census Tract 111, Shasta County, California",1210,7.0,4.0,5.0,10.0,8.0,18.0,15.0,19.0,6.0,2.0,65,4.0,4.0,4.0,5.0,4.0,7.0,6.0,6.0,4.0,2.0,06,089,011100,2018,06089011100
